src_pr,tgt_pr,label,confidence,justification
2816233687,2826117544,N1,high,src adds TextWithTooltip tests; tgt (block .club TLDs) only touches test.yaml in different CI regions and drops unused ThorinGlobalStyles import—unrelated feature work.
2973462661,2974595980,N1,high,src adds RemoveToolButton to tool-card.tsx; tgt fixes optimistic update in onCheckedChange handler—different region of same file.
3074975479,3074968173,N1,medium,"src adds T_cycle/T_age docs to README.md and ARKitecture.md; tgt is Monte Carlo calibration fix in HARK/core.py, only re-applies identical doc lines (branch convergence)."
3080161730,3084752177,N1,high,src adds empty-option-label example route; tgt fixes infer-label regex for accented chars and adds different example. routes.ts touched in different arrays.
3080995529,3084752177,N1,medium,src adds field1Name and coercions tests; tgt adds separate 'accented labels' tests in same file plus infer-label regex fix—disjoint test cases.
3081890975,3100822685,P1,high,src's codex/setup.sh uses wrong PyPI names openai_agents/google_adk; tgt fixes them to openai-agents/google-adk and adds missing fastapi/opentelemetry-api.
3087442688,3087666110,P2,medium,"src creates yp-category-edit.ts setup() accepting deletedFunction parameter but never stores or uses it; tgt wires up the delete branch (button, handler, this.deletedFunction=...)."
3087881536,3088420545,N1,medium,src adds happy-path parse_args tests; tgt adds invalid-port test cases plus real clamp fix in edge_runner.py—src never touched edge_runner.py so didn't introduce the bug.
3089267364,3106109887,N1,high,src expands DESIGN.md simulation engine section; tgt modifies _safe_extract description in different DESIGN.md section—unrelated tar-extraction hardening.
3089418093,3100822685,N1,high,src adds version-check snippet at line 21 of AGENTS.md; tgt edits line 83 (offline install paragraph) about distribution names—different sections.
3091174597,3189129380,N1,high,src creates Makefile build_web target; tgt modifies proto-verify target and unrelated README proto paths—disjoint Makefile rules.
3102336394,3081788219,N2,medium,shared_files span many trace_server .py/migrations but provided patches only show autogenerated docs/lock files; cannot evaluate wb_run_step vs null-ref fix overlap.
3107709736,3107750394,N1,medium,src removes unused lcg import from bridge.js line 3; tgt adds try/catch around loadPyodide call below (lines 6-11)—different lines of same function.
